hex_id,resolution,description
gkgv6,3,Seattle + Tacoma
gkgq6,3,Baker Snoqualmie
ikgck,4,Port Angeles
ikgvg,4,Olympic Mountains
ikgrs,4,Port Townsend
ikgvo,4,Kingston + South Whidbey Island
ikgr2,4,North Whidbey Island + Everett
ikgqg,4,East of Everett
ikgrc,4,San Juan Islands + Anacortes
ikgrk,4,Bellingham
kkgra7y,5,San Juan Island
kkgra,5,Orcas Island
kkgrhpy,5,Prevost Island
kkgro7y,5,North of Orcas Island
kkgropy,5,North Lummi Island
kkgri7y,5,South Lummi Island + South Bellingham
kkgrppy,5,Central Bellingham
kkgrmpy,5,Mountain View
kkgrnpy,5,Lynden
kkgtw7y,5,North-East of Bellingham
kkgri,5,East of Bellingham


