child_num,hex_id,dns_mapping,target
0,6kgvdnw3nwya,0.6.6.6.6.6.6.6.6.6.6.0.5.2.3.20.h3.seahex.org.,ovh-front-nuc.infra.hex.camp
1,6kgvhnw3nwya,0.6.6.6.6.6.6.6.6.6.6.1.5.2.3.20.h3.seahex.org.,ovh-front-nuc.infra.hex.camp
2,6kgvlnw3nwya,0.6.6.6.6.6.6.6.6.6.6.2.5.2.3.20.h3.seahex.org.,ovh-front-nuc2.infra.hex.camp
3,6kgvpnw3nwya,0.6.6.6.6.6.6.6.6.6.6.3.5.2.3.20.h3.seahex.org.,ovh-front-nuc2.infra.hex.camp
4,6kgvtnw3nwya,0.6.6.6.6.6.6.6.6.6.6.4.5.2.3.20.h3.seahex.org.,ovh-front-ryzen9.infra.hex.camp
5,6kgvxnw3nwya,0.6.6.6.6.6.6.6.6.6.6.5.5.2.3.20.h3.seahex.org.,ovh-front-ryzen9.infra.hex.camp
6,6kgv3nw3nwya,0.6.6.6.6.6.6.6.6.6.6.6.5.2.3.20.h3.seahex.org.,
7,6kgvdnw3nw2q,5.6.6.6.6.6.6.6.6.6.6.0.5.2.3.20.h3.seahex.org.,ovh-front-nuc.infra.hex.camp
8,6kgvhnw3nw2q,5.6.6.6.6.6.6.6.6.6.6.1.5.2.3.20.h3.seahex.org.,ovh-front-nuc.infra.hex.camp
9,6kgvlnw3nw2q,5.6.6.6.6.6.6.6.6.6.6.2.5.2.3.20.h3.seahex.org.,ovh-front-nuc2.infra.hex.camp
10,6kgvpnw3nw2q,5.6.6.6.6.6.6.6.6.6.6.3.5.2.3.20.h3.seahex.org.,ovh-front-nuc2.infra.hex.camp
11,6kgvtnw3nw2q,5.6.6.6.6.6.6.6.6.6.6.4.5.2.3.20.h3.seahex.org.,ovh-front-ryzen9.infra.hex.camp
12,6kgvxnw3nw2q,5.6.6.6.6.6.6.6.6.6.6.5.5.2.3.20.h3.seahex.org.,ovh-front-ryzen9.infra.hex.camp
13,6kgv3nw3nw2q,5.6.6.6.6.6.6.6.6.6.6.6.5.2.3.20.h3.seahex.org.,
